@ pixel(147,99), Ray: origin=[ 2.5175, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(148,99), Ray: origin=[ 2.5705, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(149,99), Ray: origin=[ 2.6235, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(150,99), Ray: origin=[ 2.6765, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(151,99), Ray: origin=[ 2.7295, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(152,99), Ray: origin=[ 2.7825, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(153,99), Ray: origin=[ 2.8355, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(154,99), Ray: origin=[ 2.8885, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(155,99), Ray: origin=[ 2.9415, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(156,99), Ray: origin=[ 2.9945, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(157,99), Ray: origin=[ 3.0475, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(158,99), Ray: origin=[ 3.1005, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(159,99), Ray: origin=[ 3.1535, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(160,99), Ray: origin=[ 3.2065, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(161,99), Ray: origin=[ 3.2595, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(162,99), Ray: origin=[ 3.3125, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(163,99), Ray: origin=[ 3.3655, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(164,99), Ray: origin=[ 3.4185, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(165,99), Ray: origin=[ 3.4715, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(166,99), Ray: origin=[ 3.5245, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(167,99), Ray: origin=[ 3.5775, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(168,99), Ray: origin=[ 3.6305, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(169,99), Ray: origin=[ 3.6835, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(170,99), Ray: origin=[ 3.7365, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(171,99), Ray: origin=[ 3.7895, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(172,99), Ray: origin=[ 3.8425, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(173,99), Ray: origin=[ 3.8955, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(174,99), Ray: origin=[ 3.9485, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(175,99), Ray: origin=[ 4.0015, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(176,99), Ray: origin=[ 4.0545, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(177,99), Ray: origin=[ 4.1075, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(178,99), Ray: origin=[ 4.1605, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(179,99), Ray: origin=[ 4.2135, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(180,99), Ray: origin=[ 4.2665, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(181,99), Ray: origin=[ 4.3195, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(182,99), Ray: origin=[ 4.3725, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(183,99), Ray: origin=[ 4.4255, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(184,99), Ray: origin=[ 4.4785, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(185,99), Ray: origin=[ 4.5315, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(186,99), Ray: origin=[ 4.5845, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(187,99), Ray: origin=[ 4.6375, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(188,99), Ray: origin=[ 4.6905, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(189,99), Ray: origin=[ 4.7435, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(190,99), Ray: origin=[ 4.7965, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(191,99), Ray: origin=[ 4.8495, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(192,99), Ray: origin=[ 4.9025, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(193,99), Ray: origin=[ 4.9555, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(194,99), Ray: origin=[ 5.0085, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(195,99), Ray: origin=[ 5.0615, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(196,99), Ray: origin=[ 5.1145, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(197,99), Ray: origin=[ 5.1675, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(198,99), Ray: origin=[ 5.2205, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(199,99), Ray: origin=[ 5.2735, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(0,98), Ray: origin=[ -5.2735, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(1,98), Ray: origin=[ -5.2205, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(2,98), Ray: origin=[ -5.1675, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(3,98), Ray: origin=[ -5.1145, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(4,98), Ray: origin=[ -5.0615, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(5,98), Ray: origin=[ -5.0085, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(6,98), Ray: origin=[ -4.9555, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(7,98), Ray: origin=[ -4.9025, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(8,98), Ray: origin=[ -4.8495, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(9,98), Ray: origin=[ -4.7965, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(10,98), Ray: origin=[ -4.7435, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(11,98), Ray: origin=[ -4.6905, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(12,98), Ray: origin=[ -4.6375, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(13,98), Ray: origin=[ -4.5845, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(14,98), Ray: origin=[ -4.5315, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(15,98), Ray: origin=[ -4.4785, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(16,98), Ray: origin=[ -4.4255, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(17,98), Ray: origin=[ -4.3725, 3.88, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
